Title,Author(s),Journal,Publisher,Workflow/Process,Methodology,Approaches,Source,Dataset,Dataset Source (Availability),Research Gaps
Predicting Electric Vehicle Charging Demand Using Deep Learning,S. K. and A. K.,Sustainability,MDPI,EV load prediction using deep learning,"Transformer, LSTM, ARIMA, SARIMA",Comparative study,[source](#),Historical EV charging records,Available,"Need for real-time data, impact of traffic distribution"
Demand Forecasting for Electric Vehicle Charging Stations,Y. Yang and H. -G. Yeh,Various,IEEE,Charging station demand forecasting,"Hybrid models, machine learning","SVR, Random Forest",[source](#),Charging demand data,Available,Limited analysis of psychological factors
Electric Vehicle Charging Demand Prediction,M. Ding et al.,Applied Energy,Elsevier,Prediction with attention-based LSTM,LSTM with attention,Focus on short-term forecasts,[source](#),EV charging datasets,Available,Need for multi-source data integration
Machine Learning for Predicting Electric Vehicle Charging Patterns,A. R. Al-Ali et al.,IEEE Access,IEEE,Behavioral charging analysis,Machine learning algorithms,"Random Forest, Linear Regression",[source](#),Charging requests data,Available,Need for improved model interpretability
Comparative Analysis of Deep Learning Models for Electric Vehicle Charging Load Forecasting,M. P. Sasidharan et al.,Journal of the Institution of Engineers,IAEM,EV charging analysis,Deep learning and hybrid models,"CNN, LSTM",[source](#),Charging load data,Available,Addressing seasonality effects in models
A Hybrid Artificial Intelligence Approach for Short-term Electric Vehicle Charging Prediction,A. Azadeh et al.,Applied Energy,Elsevier,Prediction enhancement through AI,Hybrid techniques,Ensemble Learning,[source](#),Short-term demand data,Available,Evaluation of scalability issues
Estimation of Charging Profile in the Netherlands,J. Mies et al.,World Electric Vehicle Journal,MDPI,Individual charge session profiling,Time-series forecasting,Regression models,[source](#),National charging data,Available,Impact of fast-charging trends on demand
Electric Vehicle Charging Demand Prediction Based on Machine Learning and Big Data Analysis,L. Li et al.,Transportation Research Part C,Elsevier,Big data approach,Machine Learning,"LSTM, Regression",[source](#),Extensive charging data analysis,Available,Gap in understanding socio-economic influences
Short-term Electric Vehicle Charging Demand Forecasting Using a Hybrid Model,L. Tang et al.,Energy,Elsevier,Model application,Hybrid modeling,CNN-LSTM,[source](#),Short-term charging demands,Available,More granular data needed for accuracy
Electric Vehicle Charging Prediction Using Machine Learning Methods,K. Guo et al.,IET Intelligent Transport Systems,IET,ML for EV charging,Machine Learning,Various algorithms,[source](#),Battery and charging data,Available,Analysis of charging behaviors across regions